listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0150,Automark by CFAO Madagascar,Concessionnaire occasion,Mitsubishi,Pajero,Sport GLS 2.4 DiD AT,2021.0,130000000,130M Ar,MGA,dealer_used,False,75000.0,75000 km,Diesel,Automatique,4x4,2.4L DiD,7,Occasion certifiee Automark; Reference prix marche concessionnaire,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0151,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,RAV4,,2021.0,90000000,90M Ar,MGA,dealer_used,False,90000.0,90000 km,Essence,Manuelle,4x2,2.0L,5,Occasion certifiee Automark; Reference prix marche concessionnaire,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0152,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Alto,,2024.0,40000000,40M Ar,MGA,dealer_used,False,33000.0,33000 km,Essence,Manuelle,4x2,,5,Occasion certifiee Automark; Couleur verte; Reference prix marche,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0153,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Vitara,GL,2022.0,58000000,58M Ar,MGA,dealer_used,False,117000.0,117000 km,Essence,Manuelle,4x2,1.6L,5,Occasion certifiee Automark; Couleur blanche,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0154,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,Starlet,,2023.0,50000000,50M Ar,MGA,dealer_used,False,40000.0,40000 km,Essence,Manuelle,4x2,,5,Occasion certifiee Automark; Couleur bleue,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0155,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Celerio,,2023.0,55000000,55M Ar,MGA,dealer_used,False,12000.0,12000 km,Essence,Automatique,4x2,,5,Occasion certifiee Automark; Couleur grise,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0156,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,Rush,,2021.0,70000000,70M Ar,MGA,dealer_used,False,68000.0,68000 km,Essence,Manuelle,4x2,1.5L,7,Occasion certifiee Automark; 7 places; Couleur noire,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0157,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,Corolla,Cross,2021.0,85000000,85M Ar,MGA,dealer_used,False,44000.0,44000 km,Essence,Automatique,4x2,1.8L,5,Occasion certifiee Automark; Couleur grise (1ere annonce),Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0158,Automark by CFAO Madagascar,Concessionnaire occasion,Volkswagen,Touareg,V8,2005.0,40000000,40M Ar,MGA,dealer_used,False,,,Essence,Automatique,4x4,4.2L V8,5,Occasion certifiee Automark; Cuir; Couleur noire,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0159,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,RAV4,,2021.0,90000000,90M Ar,MGA,dealer_used,False,66000.0,66000 km,Essence,Manuelle,4x2,2.0L,5,Occasion certifiee Automark; Couleur grise; 2e RAV4 manuelle 90M (kms different),Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0160,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,Corolla,Cross,2021.0,95000000,95M Ar,MGA,dealer_used,False,44000.0,44000 km,Essence,Automatique,4x2,1.8L,5,Occasion certifiee Automark; 2e Corolla Cross meme kms a 95M (variante annonce),Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0161,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,LC,200 VX,2020.0,260000000,260M Ar,MGA,dealer_used,False,58000.0,58000 km,Diesel,Automatique,4x4,4.5L,5,Occasion certifiee Automark; Couleur grise,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=4x4
ANX-MKT-0162,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,Rush,,2021.0,65000000,65M Ar,MGA,dealer_used,False,85000.0,85000 km,Essence,Manuelle,4x2,1.5L,7,Occasion certifiee Automark; Couleur marron,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0163,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Swift,,2023.0,45000000,45M Ar,MGA,dealer_used,False,42000.0,42000 km,Essence,Manuelle,4x2,1.2L,5,Occasion certifiee Automark; Couleur bleu fonce,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0164,Automark by CFAO Madagascar,Concessionnaire occasion,Mitsubishi,Outlander,M Line,2024.0,190000000,190M Ar,MGA,dealer_used,False,1509.0,1509 km,Essence,Automatique,4x2,2.5L,5,Occasion certifiee Automark; Quasi neuf 1509 km; Couleur grise,Provenance: CFAO Madagascar; État: Occasion certifiee - quasi neuf,Antananarivo,032 05 279 06,True,,high,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0165,Automark by CFAO Madagascar,Concessionnaire occasion,Mitsubishi,Outlander,,2021.0,85000000,85M Ar,MGA,dealer_used,False,43000.0,43000 km,Essence,Automatique,4x2,2.4L,5,Occasion certifiee Automark; Couleur grise (43k km),Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0166,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,RAV4,High-Grade,2022.0,135000000,135M Ar,MGA,dealer_used,False,46000.0,46000 km,Essence,Automatique,4x2,2.0L,5,Occasion certifiee Automark; High-Grade; Couleur bleue,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0167,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,Rush,,2022.0,100000000,100M Ar,MGA,dealer_used,False,8000.0,8000 km,Essence,Automatique,4x2,1.5L,7,Occasion certifiee Automark; 7 places; 4x2; Quasi neuf,Provenance: CFAO Madagascar; État: Occasion certifiee - quasi neuf,Antananarivo,032 05 279 06,True,,high,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0168,Automark by CFAO Madagascar,Concessionnaire occasion,Mitsubishi,Outlander,,2021.0,75000000,75M Ar,MGA,dealer_used,False,52000.0,52000 km,Essence,Automatique,4x2,2.4L,5,Occasion certifiee Automark; Couleur grise (52k km),Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0169,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Swift,Marron,2022.0,40000000,40M Ar,MGA,dealer_used,False,108000.0,108000 km,Essence,Manuelle,4x2,1.2L,5,Occasion certifiee Automark; Couleur marron,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0170,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Swift,Bleu Nuit,2022.0,40000000,40M Ar,MGA,dealer_used,False,88000.0,88000 km,Essence,Manuelle,4x2,1.2L,5,Occasion certifiee Automark; Couleur bleu nuit,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0171,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Vitara,AllGrip,2020.0,90000000,90M Ar,MGA,dealer_used,False,35000.0,35000 km,Essence,Automatique,4x4,1.6L,5,Occasion certifiee Automark; AllGrip 4x4; Couleur rouge,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0172,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,LC,200 VX,2017.0,300000000,300M Ar,MGA,dealer_used,False,46000.0,46000 km,Diesel,Automatique,4x4,4.5L V8,5,Occasion certifiee Automark; V8 Diesel; Couleur beige/dore,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=4x4
ANX-MKT-0173,Automark by CFAO Madagascar,Concessionnaire occasion,Renault,Duster,,2016.0,45000000,45M Ar,MGA,dealer_used,False,29000.0,29000 km,Essence,Automatique,4x2,1.6L,5,Occasion certifiee Automark; Couleur blanche,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV Compact
ANX-MKT-0174,Automark by CFAO Madagascar,Concessionnaire occasion,Toyota,LC,200 VX-R,2014.0,250000000,250M Ar,MGA,dealer_used,False,85000.0,85000 km,Essence,Automatique,4x4,4.5L V8,5,Occasion certifiee Automark; V8 essence; Couleur blanche,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=4x4
ANX-MKT-0175,Automark by CFAO Madagascar,Concessionnaire occasion,Suzuki,Swift,,2021.0,40000000,40M Ar,MGA,dealer_used,False,50000.0,50000 km,Essence,Manuelle,4x2,1.2L,5,Occasion certifiee Automark; Couleur blanche,Provenance: CFAO Madagascar; État: Occasion certifiee,Antananarivo,032 05 279 06,True,,low,Imported from autonex_listings_complet.csv 2026-05-05; categorie=Citadine
ANX-MKT-0177,Rasseta,Concessionnaire officiel,MG,One,,2025.0,115000000,115M Ar,MGA,dealer_new_ttc,False,0.0,0 km,Essence,Automatique,4x2,,5,Vehicule neuf; Prix de lancement promotion; Distributeur officiel MG,Provenance: Rasseta - Distributeur officiel; État: Neuf - Prix de lancement,Antananarivo,,True,,high,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
ANX-MKT-0178,GAC Motor,Concessionnaire officiel,GAC Motor,Emkoo,Turbo,2025.0,135000000,135M Ar,MGA,dealer_new_ttc,False,0.0,0 km,Essence,Automatique,4x2,2.0L Turbo,5,Vehicule neuf; Payable sur 12 mois 0% agios; Conso 5L/100; Autonomie 1105 km,Provenance: GAC Motor; État: Neuf,Antananarivo,,True,,high,Imported from autonex_listings_complet.csv 2026-05-05; categorie=SUV
